id,audit_number,title,audit_type,entity_name,entity_type,description,scheduled_date,start_date,end_date,status,progress,risk_level,compliance_score,created_by,created_at,updated_at
73,AUD-DEV-00023,Warehouse Audit - Reliable Packaging Solutions Private Limited,Warehouse Audit,Reliable Packaging Solutions Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-06-16,2026-06-16,2026-07-07,Not Started,0.0,Medium,74.5,1,2026-03-30 12:04:02,2026-06-16 10:28:38
74,AUD-DEV-00024,Information Security Audit - Precision Chemical Products Private Limited,Information Security Audit,Precision Chemical Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-12-16,2025-12-16,2026-01-14,Not Started,35.0,High,61.14,1,2025-10-21 16:27:08,2027-03-20 15:51:26
75,AUD-DEV-00025,Supplier Audit - Apex Industrial Supplies Private Limited,Supplier Audit,Apex Industrial Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-09-26,2025-09-26,2025-10-07,Not Started,100.0,Low,96.68,3,2025-09-18 18:55:48,2026-05-15 17:50:32
76,AUD-DEV-00026,Procurement Audit - Bharat IT Services Private Limited,Procurement Audit,Bharat IT Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-12-06,2026-12-06,2026-12-21,Not Started,65.0,Medium,88.26,2,2026-08-20 08:36:55,2026-08-18 16:18:04
77,AUD-DEV-00027,Vendor Performance Audit - Deccan Food Ingredients Private Limited,Vendor Performance Audit,Deccan Food Ingredients Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2027-03-12,2027-03-12,2027-03-31,Not Started,0.0,High,74.06,2,2025-12-07 16:11:48,2026-12-26 14:54:45
78,AUD-DEV-00028,Compliance Audit - Eastern Electrical Systems Private Limited,Compliance Audit,Eastern Electrical Systems Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-12-29,2025-12-29,2026-01-21,Not Started,35.0,Low,61.52,3,2026-11-14 13:10:58,2027-02-12 16:52:31
79,AUD-DEV-00029,Invoice Control Audit - Southern Warehouse Equipment Private Limited,Invoice Control Audit,Southern Warehouse Equipment Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-09-23,2026-09-23,2026-10-04,Not Started,100.0,Medium,96.64,3,2026-01-29 12:32:15,2026-10-30 16:07:33
80,AUD-DEV-00030,Inventory Audit - Shree Engineering Components Private Limited,Inventory Audit,Shree Engineering Components Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-02-03,2026-02-03,2026-02-11,Not Started,65.0,High,88.56,2,2026-04-07 16:27:00,2026-05-21 10:41:36
81,AUD-DEV-00031,Warehouse Audit - Sree Logistics Services Private Limited,Warehouse Audit,Sree Logistics Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-09-25,2026-09-25,2026-10-21,Not Started,0.0,Low,74.5,2,2026-05-03 11:56:21,2026-06-03 13:06:40
82,AUD-DEV-00032,Information Security Audit - Triveni Textile Materials Private Limited,Information Security Audit,Triveni Textile Materials Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-08,2026-11-08,2026-11-22,Not Started,35.0,Medium,61.74,4,2026-01-11 15:01:59,2027-02-21 16:19:10
83,AUD-DEV-00033,Supplier Audit - Sai Safety Products Private Limited,Supplier Audit,Sai Safety Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-07-25,2026-07-25,2026-08-13,Not Started,100.0,High,96.78,4,2026-10-01 09:10:51,2026-04-23 08:30:18
84,AUD-DEV-00034,Procurement Audit - Sri Lakshmi MRO Supplies Private Limited,Procurement Audit,Sri Lakshmi MRO Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-10-23,2025-10-23,2025-11-11,Not Started,65.0,Low,88.03,1,2025-12-02 13:48:17,2026-12-31 15:21:56
85,AUD-DEV-00035,Vendor Performance Audit - Pragati Packaging Solutions Private Limited,Vendor Performance Audit,Pragati Packaging Solutions Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-10-02,2025-10-02,2025-10-24,Not Started,0.0,Medium,74.99,3,2027-01-04 10:35:31,2027-01-05 15:30:00
86,AUD-DEV-00036,Compliance Audit - Vardhan Chemical Products Private Limited,Compliance Audit,Vardhan Chemical Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-08-04,2026-08-04,2026-08-18,Not Started,35.0,High,61.79,2,2025-12-19 16:55:17,2026-07-16 15:26:27
87,AUD-DEV-00037,Invoice Control Audit - Kaveri Industrial Supplies Private Limited,Invoice Control Audit,Kaveri Industrial Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-11-05,2025-11-05,2025-11-22,Not Started,100.0,Low,96.7,1,2026-10-09 14:09:24,2026-03-05 15:19:31
88,AUD-DEV-00038,Inventory Audit - Godavari IT Services Private Limited,Inventory Audit,Godavari IT Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-22,2026-11-22,2026-12-05,Not Started,65.0,Medium,88.93,2,2025-09-16 08:05:35,2025-09-24 17:46:22
89,AUD-DEV-00039,Warehouse Audit - Krishna Food Ingredients Private Limited,Warehouse Audit,Krishna Food Ingredients Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-08-10,2026-08-10,2026-08-29,Not Started,0.0,High,74.83,2,2026-12-08 08:58:27,2026-08-10 11:10:18
90,AUD-DEV-00040,Information Security Audit - Nandi Electrical Systems Private Limited,Information Security Audit,Nandi Electrical Systems Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-08-24,2026-08-24,2026-09-06,Not Started,35.0,Low,61.67,3,2026-06-09 10:12:09,2025-12-14 10:59:05
91,AUD-DEV-00041,Supplier Audit - Andhra Warehouse Equipment Private Limited,Supplier Audit,Andhra Warehouse Equipment Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-10-09,2026-10-09,2026-10-22,Not Started,100.0,Medium,96.89,1,2025-10-20 15:22:03,2025-09-11 10:28:47
92,AUD-DEV-00042,Procurement Audit - Telugu Engineering Components Private Limited,Procurement Audit,Telugu Engineering Components Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2025-09-14,2025-09-14,2025-09-28,Not Started,65.0,High,88.51,2,2026-07-31 09:45:11,2026-12-29 09:08:13
93,AUD-DEV-00043,Vendor Performance Audit - Horizon Logistics Services Private Limited,Vendor Performance Audit,Horizon Logistics Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-04-04,2026-04-04,2026-04-14,Not Started,0.0,Low,74.36,3,2026-03-05 14:45:38,2026-12-06 09:03:11
94,AUD-DEV-00044,Compliance Audit - Vertex Textile Materials Private Limited,Compliance Audit,Vertex Textile Materials Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-10,2026-11-10,2026-12-03,Not Started,35.0,Medium,61.95,5,2025-12-16 08:23:10,2026-07-28 17:35:10
95,AUD-DEV-00045,Invoice Control Audit - Prime Safety Products Private Limited,Invoice Control Audit,Prime Safety Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-09-07,2026-09-07,2026-09-27,Not Started,100.0,High,96.82,1,2027-03-30 16:00:58,2026-03-02 11:51:38
96,AUD-DEV-00046,Inventory Audit - Metro MRO Supplies Private Limited,Inventory Audit,Metro MRO Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-01,2026-11-01,2026-11-26,Not Started,65.0,Low,88.63,5,2025-12-09 11:46:53,2026-07-10 10:57:15
97,AUD-DEV-00047,Warehouse Audit - Reliable Packaging Solutions Private Limited,Warehouse Audit,Reliable Packaging Solutions Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-08-23,2026-08-23,2026-09-19,Not Started,0.0,Medium,74.38,1,2026-07-29 12:00:23,2026-10-16 11:06:04
98,AUD-DEV-00048,Information Security Audit - Precision Chemical Products Private Limited,Information Security Audit,Precision Chemical Products Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-11-04,2026-11-04,2026-12-03,Not Started,35.0,High,61.37,1,2025-11-26 16:39:31,2026-11-24 08:51:18
99,AUD-DEV-00049,Supplier Audit - Apex Industrial Supplies Private Limited,Supplier Audit,Apex Industrial Supplies Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-02-19,2026-02-19,2026-02-27,Not Started,100.0,Low,96.54,1,2026-07-26 08:02:24,2026-01-30 13:15:29
100,AUD-DEV-00050,Procurement Audit - Bharat IT Services Private Limited,Procurement Audit,Bharat IT Services Private Limited,Supplier,Development record for Indian supplier and supply-chain operations.,2026-06-04,2026-06-04,2026-07-03,Not Started,65.0,Medium,88.22,4,2026-04-11 14:37:15,2026-07-06 14:21:19
