id,plan_id,item_code,product_name,category,demand_units,planned_order_units,inventory_required_units,service_level_target
22,23,ITM-DEV-007,Pallet Stretch Film,Packaging,2086,787,2465,142553.59
23,24,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,2059,2385,2836,807920.65
24,25,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,3925,796,1633,707265.0
25,26,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,609,3279,4518,892844.08
26,27,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,4224,3926,3976,554299.65
27,28,ITM-DEV-012,PLC Communication Module,Electrical Equipment,1284,4533,3598,642973.01
28,29,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,447,4043,3422,160389.11
29,30,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,4241,4628,1644,209738.52
30,31,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,1248,2639,2881,186780.05
31,32,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,4223,3714,3449,489659.67
32,33,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,4290,3126,3375,492550.12
33,34,ITM-DEV-003,HDPE Packaging Bags,Packaging,2824,4351,1477,322963.74
34,35,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,3353,2688,2226,58144.89
35,36,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,1231,1589,1839,225053.94
36,37,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,907,2825,1667,723641.42
37,38,ITM-DEV-007,Pallet Stretch Film,Packaging,4988,750,2112,176419.53
38,39,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,3781,4554,1242,496856.24
39,40,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,2179,4464,1265,713031.92
40,41,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,4099,2121,3777,888527.19
41,42,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,328,4712,4650,42843.85
42,43,ITM-DEV-012,PLC Communication Module,Electrical Equipment,2773,3692,4276,831233.7
43,44,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,3577,2664,3331,339842.45
44,45,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,1485,2920,3637,211417.04
45,46,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,4097,578,3489,879226.11
46,47,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,940,4891,906,791819.08
47,48,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,4769,476,1537,678003.54
48,49,ITM-DEV-003,HDPE Packaging Bags,Packaging,4722,2381,2039,191399.38
49,50,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,2980,1435,4520,796338.77
50,51,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,776,1934,163,117976.87
51,2,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,3605,3974,829,94433.8
52,3,ITM-DEV-007,Pallet Stretch Film,Packaging,3432,4445,1297,105773.68
53,4,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,1043,101,2389,126133.67
54,5,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,1312,4240,1691,770626.57
55,6,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,2065,911,2693,682888.74
56,7,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,3189,3967,1234,582337.04
57,8,ITM-DEV-012,PLC Communication Module,Electrical Equipment,2023,3050,1981,380417.49
58,9,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,1072,141,1046,83909.7
59,10,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,170,255,2875,767222.73
60,11,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,3259,189,3893,281073.77
61,12,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,3190,713,492,32187.02
62,13,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,4869,933,1080,437188.39
63,14,ITM-DEV-003,HDPE Packaging Bags,Packaging,2011,400,2910,893375.46
64,15,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,3523,1601,4684,820233.49
65,16,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,3644,1543,3636,119362.65
66,17,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,4908,2812,1361,474106.46
67,18,ITM-DEV-007,Pallet Stretch Film,Packaging,869,4907,1771,274319.71
68,19,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,1350,4542,658,789985.88
69,20,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,1808,770,4500,681639.33
70,21,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,3063,2914,1933,53485.36
71,22,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,4055,2298,3237,295676.29
72,23,ITM-DEV-012,PLC Communication Module,Electrical Equipment,3261,4871,4744,673645.81
73,24,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,4837,3242,4652,524298.78
74,25,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,770,792,2107,251939.74
75,26,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,3108,1460,3703,6650.48
76,27,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,2183,114,3587,208950.87
77,28,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,2468,4289,4824,199545.16
78,29,ITM-DEV-003,HDPE Packaging Bags,Packaging,192,311,2249,95183.45
79,30,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,3758,964,2733,70318.31
80,31,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,4773,2513,2627,585245.92
81,32,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,3518,3030,2679,516077.24
82,33,ITM-DEV-007,Pallet Stretch Film,Packaging,78,4412,4549,712058.09
83,34,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,1251,2508,4805,376782.22
84,35,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,4042,322,1467,220746.31
85,36,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,2166,2195,773,702910.07
86,37,ITM-DEV-011,Nitrile Chemical Gloves,Safety Equipment,4302,2826,3794,565603.96
87,38,ITM-DEV-012,PLC Communication Module,Electrical Equipment,1999,3719,3328,706906.89
88,39,ITM-DEV-013,Industrial Cleaning Chemical,Chemical Products,4086,75,4806,306882.91
89,40,ITM-DEV-014,Thermal Transfer Ribbon,Warehouse Supplies,4799,2878,2862,605720.33
90,41,ITM-DEV-015,HDMI/DisplayPort Adapters,IT Services,724,3310,1554,545941.15
91,42,ITM-DEV-001,Industrial Safety Gloves,Safety Equipment,4484,2063,1965,611463.04
92,43,ITM-DEV-002,Corrugated Shipping Boxes,Packaging,4174,4173,407,410414.09
93,44,ITM-DEV-003,HDPE Packaging Bags,Packaging,1551,2814,2640,580689.48
94,45,ITM-DEV-004,Stainless Steel Fasteners,Raw Materials,4675,1043,4190,145717.29
95,46,ITM-DEV-005,Electrical Control Panels,Electrical Equipment,2626,636,2078,592520.22
96,47,ITM-DEV-006,Copper Cable 4 sq mm,Electrical Equipment,3724,3583,2768,611501.64
97,48,ITM-DEV-007,Pallet Stretch Film,Packaging,4630,2209,56,829005.63
98,49,ITM-DEV-008,Industrial Lubricant 20L,MRO Supplies,2648,2945,2888,644574.42
99,50,ITM-DEV-009,Warehouse Barcode Labels,Warehouse Supplies,2989,2223,2424,58889.84
100,51,ITM-DEV-010,Pallet Racking Beam,Warehouse Equipment,4131,950,3248,297633.22
