id,name,category,status,email,phone,country,contactPerson,onboardedAt,reliabilityScore,riskLevel,totalSpend
30,Prime Corporation 030,Industrial Equipment,Pending,vendor30@supplier.com,+91 90000 00030,USA,Amit Singh,2024-09-09,48.6,Critical,632040
31,Green Industries 031,Office Supplies,Approved,vendor31@supplier.com,+91 90000 00031,Singapore,Sneha Kumar,2026-01-03,77.8,Medium,354445
32,Vertex Enterprises 032,IT Services,Approved,vendor32@supplier.com,+91 90000 00032,Netherlands,Ananya Reddy,2026-08-16,66.0,High,101066
33,Nova Manufacturing 033,Electronics,Approved,vendor33@supplier.com,+91 90000 00033,USA,Aditya Kapoor,2025-06-02,77.9,Medium,303082
34,Global Systems 034,Office Supplies,Pending,vendor34@supplier.com,+91 90000 00034,Singapore,Rahul Iyer,2026-05-03,91.7,Low,594605
35,Eastern Enterprises 035,Raw Materials,Rejected,vendor35@supplier.com,+91 90000 00035,Singapore,Amit Kumar,2024-04-16,77.4,Medium,945782
36,Global Enterprises 036,Logistics,Approved,vendor36@supplier.com,+91 90000 00036,Singapore,Vikram Singh,2024-08-03,51.1,High,777470
37,Reliable Suppliers 037,Maintenance Services,Pending,vendor37@supplier.com,+91 90000 00037,Singapore,Amit Joshi,2024-02-22,81.4,Medium,121781
38,Titan Logistics 038,Office Supplies,Approved,vendor38@supplier.com,+91 90000 00038,UK,Karthik Rao,2024-06-14,89.0,Low,802236
39,Metro Services 039,Electronics,Approved,vendor39@supplier.com,+91 90000 00039,USA,Amit Menon,2026-07-14,82.4,Medium,181294
40,BlueLine Industries 040,Logistics,Approved,vendor40@supplier.com,+91 90000 00040,Canada,Rahul Mehta,2024-11-11,89.2,Low,407364
41,Precision Industries 041,Packaging,Approved,vendor41@supplier.com,+91 90000 00041,USA,Ananya Reddy,2025-07-27,92.6,Low,942202
42,Summit Corporation 042,Packaging,Pending,vendor42@supplier.com,+91 90000 00042,UK,Sanjay Reddy,2024-06-30,84.7,Medium,949231
43,Summit Industries 043,Industrial Equipment,Pending,vendor43@supplier.com,+91 90000 00043,Germany,Vikram Verma,2026-03-17,54.5,High,760343
44,Prime Logistics 044,Packaging,Pending,vendor44@supplier.com,+91 90000 00044,Germany,Divya Iyer,2024-12-24,91.2,Low,345015
45,Advanced Suppliers 045,Industrial Equipment,Approved,vendor45@supplier.com,+91 90000 00045,Australia,Vikram Joshi,2024-03-12,56.8,High,835891
46,Apex Systems 046,Office Supplies,Approved,vendor46@supplier.com,+91 90000 00046,India,Priya Rao,2024-07-01,79.0,Medium,633792
47,Apex Industries 047,Office Supplies,Approved,vendor47@supplier.com,+91 90000 00047,Canada,Neha Gupta,2024-04-28,50.7,High,428906
48,Precision Corporation 048,Industrial Equipment,Approved,vendor48@supplier.com,+91 90000 00048,India,Aditya Reddy,2025-07-05,55.1,High,745221
49,Eastern Suppliers 049,Office Supplies,Approved,vendor49@supplier.com,+91 90000 00049,Australia,Karthik Joshi,2024-05-07,64.3,High,779717
50,Precision Enterprises 050,Office Supplies,Approved,vendor50@supplier.com,+91 90000 00050,Canada,Meera Rao,2025-07-21,71.9,Medium,158470
51,Vertex Logistics 051,Logistics,Approved,vendor51@supplier.com,+91 90000 00051,Singapore,Rohan Gupta,2026-05-03,80.2,Medium,25425
52,Apex Enterprises 052,Office Supplies,Pending,vendor52@supplier.com,+91 90000 00052,Netherlands,Kavya Iyer,2025-11-22,56.1,High,249082
53,BlueLine Manufacturing 053,Logistics,Rejected,vendor53@supplier.com,+91 90000 00053,USA,Vikram Gupta,2025-11-10,87.1,Low,688686
54,Green Systems 054,Packaging,Rejected,vendor54@supplier.com,+91 90000 00054,Singapore,Sneha Reddy,2024-07-22,49.9,Critical,179511
55,Nova Industries 055,Electronics,Approved,vendor55@supplier.com,+91 90000 00055,Netherlands,Rohan Kumar,2025-08-12,58.0,High,228880
56,Eastern Logistics 056,Raw Materials,Approved,vendor56@supplier.com,+91 90000 00056,USA,Sanjay Patel,2024-08-12,71.2,Medium,209430
57,United Services 057,Electronics,Approved,vendor57@supplier.com,+91 90000 00057,Netherlands,Rahul Reddy,2025-04-20,69.6,High,725005
58,BlueLine Services 058,Maintenance Services,Rejected,vendor58@supplier.com,+91 90000 00058,Canada,Divya Gupta,2025-04-01,76.6,Medium,191889
59,Eastern Manufacturing 059,IT Services,Pending,vendor59@supplier.com,+91 90000 00059,Netherlands,Karthik Kapoor,2024-10-08,68.9,High,486239
60,Prime Enterprises 060,Electronics,Approved,vendor60@supplier.com,+91 90000 00060,UK,Rahul Kapoor,2025-01-27,57.4,High,752659
61,Global Suppliers 061,Maintenance Services,Approved,vendor61@supplier.com,+91 90000 00061,Canada,Arjun Kapoor,2026-05-02,48.4,Critical,465552
62,Summit Corporation 062,Industrial Equipment,Approved,vendor62@supplier.com,+91 90000 00062,Netherlands,Arjun Sharma,2024-11-01,95.1,Low,815075
63,Summit Logistics 063,Packaging,Approved,vendor63@supplier.com,+91 90000 00063,Netherlands,Sneha Rao,2025-03-22,73.5,Medium,534232
64,Nova Logistics 064,Industrial Equipment,Approved,vendor64@supplier.com,+91 90000 00064,UK,Divya Iyer,2026-07-30,62.8,High,158827
65,Green Services 065,Raw Materials,Approved,vendor65@supplier.com,+91 90000 00065,USA,Karthik Patel,2024-05-18,46.4,Critical,933959
66,Metro Technologies 066,Packaging,Approved,vendor66@supplier.com,+91 90000 00066,Netherlands,Ananya Sharma,2026-02-18,47.7,Critical,947369
67,Summit Enterprises 067,IT Services,Pending,vendor67@supplier.com,+91 90000 00067,USA,Kavya Mehta,2026-02-06,84.9,Medium,590621
68,Nova Systems 068,Raw Materials,Approved,vendor68@supplier.com,+91 90000 00068,India,Sneha Kapoor,2026-05-09,56.9,High,46369
69,Green Technologies 069,Electronics,Approved,vendor69@supplier.com,+91 90000 00069,Germany,Kavya Menon,2024-09-19,57.6,High,829150
70,Reliable Technologies 070,Electronics,Rejected,vendor70@supplier.com,+91 90000 00070,UK,Vikram Nair,2025-08-15,77.1,Medium,51925
71,Precision Enterprises 071,Industrial Equipment,Pending,vendor71@supplier.com,+91 90000 00071,Canada,Meera Kapoor,2024-03-18,75.5,Medium,645859
72,Eastern Suppliers 072,Electronics,Pending,vendor72@supplier.com,+91 90000 00072,India,Ananya Gupta,2025-03-14,50.4,High,718655
73,Reliable Solutions 073,Industrial Equipment,Approved,vendor73@supplier.com,+91 90000 00073,Netherlands,Priya Patel,2025-01-05,71.8,Medium,691459
74,Precision Manufacturing 074,IT Services,Approved,vendor74@supplier.com,+91 90000 00074,Netherlands,Kavya Patel,2026-04-25,82.5,Medium,791536
75,Green Enterprises 075,Electronics,Approved,vendor75@supplier.com,+91 90000 00075,Singapore,Amit Iyer,2024-09-06,62.1,High,811931
76,Metro Corporation 076,Raw Materials,Approved,vendor76@supplier.com,+91 90000 00076,Netherlands,Divya Sharma,2024-07-05,77.3,Medium,536233
77,Vertex Systems 077,IT Services,Approved,vendor77@supplier.com,+91 90000 00077,India,Aditya Kapoor,2024-03-28,87.3,Low,278080
78,Eastern Logistics 078,Maintenance Services,Pending,vendor78@supplier.com,+91 90000 00078,Netherlands,Kavya Reddy,2024-01-18,70.9,Medium,122573
79,Apex Suppliers 079,Office Supplies,Approved,vendor79@supplier.com,+91 90000 00079,Netherlands,Aditya Gupta,2024-12-18,66.4,High,471173
80,Eastern Services 080,IT Services,Approved,vendor80@supplier.com,+91 90000 00080,Singapore,Vikram Kapoor,2024-05-03,62.5,High,781321
81,Vertex Systems 081,Logistics,Approved,vendor81@supplier.com,+91 90000 00081,Germany,Sneha Menon,2025-05-10,51.3,High,314930
82,Eastern Corporation 082,IT Services,Approved,vendor82@supplier.com,+91 90000 00082,USA,Divya Kapoor,2024-10-30,96.8,Low,263533
83,Reliable Technologies 083,Logistics,Approved,vendor83@supplier.com,+91 90000 00083,Singapore,Arjun Mehta,2025-07-20,61.0,High,331327
84,Eastern Technologies 084,Electronics,Pending,vendor84@supplier.com,+91 90000 00084,India,Neha Rao,2025-04-25,78.8,Medium,526968
85,Metro Systems 085,Maintenance Services,Approved,vendor85@supplier.com,+91 90000 00085,USA,Divya Nair,2025-02-14,54.8,High,540633
86,Prime Corporation 086,Logistics,Approved,vendor86@supplier.com,+91 90000 00086,Singapore,Priya Kapoor,2024-05-01,78.4,Medium,610181
87,United Logistics 087,Packaging,Pending,vendor87@supplier.com,+91 90000 00087,Canada,Kavya Iyer,2024-10-31,77.1,Medium,926950
88,Green Logistics 088,Electronics,Approved,vendor88@supplier.com,+91 90000 00088,Germany,Karthik Kapoor,2024-09-27,61.2,High,717509
89,Prime Technologies 089,Logistics,Approved,vendor89@supplier.com,+91 90000 00089,India,Rohan Iyer,2025-12-06,57.7,High,647656
90,Metro Enterprises 090,IT Services,Approved,vendor90@supplier.com,+91 90000 00090,Netherlands,Priya Kumar,2024-08-27,46.7,Critical,302405
91,United Corporation 091,Industrial Equipment,Pending,vendor91@supplier.com,+91 90000 00091,USA,Aditya Kapoor,2025-10-25,80.0,Medium,181226
92,Precision Enterprises 092,Logistics,Approved,vendor92@supplier.com,+91 90000 00092,Singapore,Neha Menon,2026-04-24,88.8,Low,621856
93,Precision Enterprises 093,IT Services,Approved,vendor93@supplier.com,+91 90000 00093,Canada,Vikram Gupta,2025-07-06,68.3,High,542781
94,Metro Solutions 094,Office Supplies,Pending,vendor94@supplier.com,+91 90000 00094,Singapore,Arjun Nair,2024-08-22,76.7,Medium,732053
95,Advanced Corporation 095,IT Services,Approved,vendor95@supplier.com,+91 90000 00095,India,Sanjay Reddy,2024-06-28,76.1,Medium,518355
96,BlueLine Manufacturing 096,Industrial Equipment,Approved,vendor96@supplier.com,+91 90000 00096,Netherlands,Priya Iyer,2024-12-22,93.6,Low,453184
97,Reliable Systems 097,Office Supplies,Pending,vendor97@supplier.com,+91 90000 00097,Canada,Meera Iyer,2024-10-22,80.5,Medium,719769
98,Summit Services 098,IT Services,Approved,vendor98@supplier.com,+91 90000 00098,Australia,Priya Reddy,2025-02-17,46.9,Critical,931924
99,BlueLine Industries 099,Industrial Equipment,Approved,vendor99@supplier.com,+91 90000 00099,India,Sneha Gupta,2025-01-05,79.9,Medium,677878
100,United Manufacturing 100,Packaging,Pending,vendor100@supplier.com,+91 90000 00100,Singapore,Aditya Verma,2026-08-07,78.1,Medium,327020
